置き;オク
引き出し;ヒキダシ
拝見;ハイケン
水道;スイドウ
暖房;ダンボウ
水泳;スイエイ
乗り物;ノリモノ
特急;トッキュウ
葡萄;ブドウ
売り場;ウリバ
競争;キョウソウ
写す;ウツス
産業;サンギョウ
アクセサリー;アクセサリー
郊外;コウガイ
サンダル;サンダル
沸く;ワク
アフリカ;アフリカ
急行;キュウコウ
屋上;オクジョウ
掏摸;スリ
工業;コウギョウ
絹;キヌ
レポート;レポート
講義;コウギ
小鳥;コトリ
押し入れ;オシイレ
下宿;ゲシュク
花見;ハナミ
汽車;キシャ
地理;チリ
昼休み;ヒルヤスミ
オートバイ;オートバイ
サンドイッチ;サンドイッチ
貿易;ボウエキ
冷房;レイボウ
贈り物;オクリモノ
スーツケース;スーツケース
召し上がる;メシアガル
辞典;ジテン
木綿;モメン
ステレオ;ステレオ
ステーキ;ステーキ
沸かす;ワカス
柔道;ジュウドウ
ワープロ;ワープロ
ジャム;ジャム
学部;ガクブ
文法;ブンポウ
浸ける;ツケル
ハンバーグ;ハンバーグ
電報;デンポウ
エスカレーター;エスカレーター
輸出;ユシュツ
床屋;トコヤ
忘れ物;ワスレモノ
寝坊;ネボウ
点く;ツク
講堂;コウドウ
予習;ヨシュウ
復習;フクシュウ
展覧;テンラン
って;ッテ
者;シャ
的;テキダ
さ;サ
知れる;シレル
日本;ニッポン
拠る;ヨル
就く;ツク
付く;ツク
相手;アイテ
らしい;ラシイ
金;カネ
唯;タダ
なんて;ナンテ
人間;ニンゲン
みたい;ミタイ
感ずる;カンズル
数;スウ
方法;ホウホウ
俺;オレ
可能;カノウ
共;トモ
全く;マッタク
性;セイ
彼の;アノ
全て;スベテ
大;ダイ
願う;ネガウ
生;ナマ
べし;ベシ
不;フ
感じ;カンジ
可成;カナリ
名;ナ
違い;チガイ
姿;スガタ
得る;エル
状態;ジョウタイ
対する;タイスル
程度;テイド
奴;ヤツ
身;ミ
否;イヤ
場;バ
第;ダイ
実際;ジッサイ
現在;ゲンザイ
元;モト
なんか;ナンカ
勧める;ススメル
奥;オク
彼れ;アレ
トウキョウ;トウキョウ
以前;イゼン
辺り;アタリ
御前;オマエ
使用;シヨウ
或る;アル
実;ジツ
既に;スデニ
確認;カクニン
更に;サラニ
ぞ;ゾ
部分;ブブン
機;キ
部;ブ
気付く;キヅク
経つ;タツ
メール;メール
評価;ヒョウカ
当たる;アタル
親;オヤ
パーセント;パーセント
品;ヒン
情報;ジョウホウ
小;ショウ
まあ;マア
無;ム
思い;オモイ
内容;ナイヨウ
然も;シカモ
感;カン
さえ;サエ
詰まり;ツマリ
無し;ナシ
保険;ホケン
絶対;ゼッタイ
様子;ヨウス
友人;ユウジン
書;ショ
こそ;コソ
殺す;コロス
馬鹿;バカ
所為;セイ
料;リョウ
胸;ムネ
際;サイ
不安;フアン
離れる;ハナレル
長;チョウ
系;ケイ
詳しい;クワシイ
自身;ジシン
個人;コジン
一体;イッタイ
振り;ブリ
当然;トウゼン
地;チ
信ずる;シンズル
商品;ショウヒン
因み;チナミ
購入;コウニュウ
逆;ギャク
互い;タガイ
事件;ジケン
回答;カイトウ
合わせる;アワセル
のみ;ノミ
振る;フル
一般;イッパン
時期;ジキ
参考;サンコウ
結局;ケッキョク
